Dates,Spot,FWD3M,ATM,RR25D3M,BF25D3M,RR10D3M,BF10D3M,Rf,Rd,ImpliedRd
12/21/2012 0:00,1.61725,1.6167695,5.95,-0.516,0.21,-1.03,0.575,0.49,0.34,0.48
12/28/2012 0:00,1.61705,1.616364,6.425,-0.539,0.23,-1.03,0.575,0.53,0.34,0.4135
1/4/2013 0:00,1.60715,1.606236,6.1,-0.475,0.21,-1.13,0.575,0.49,0.33,0.451
1/11/2013 0:00,1.61325,1.611847,6.075,-0.544,0.21,-1.03,0.569,0.57,0.32,0.4225
1/18/2013 0:00,1.5868,1.5864625,7.0625,-0.68,0.23,-1.28,0.775,0.56,0.31,0.441
1/25/2013 0:00,1.5803,1.5790885,6.78,-0.715,0.23,-1.3,0.813,0.48,0.405,0.369
2/1/2013 0:00,1.56925,1.5696135,7.15,-0.724,0.21,-1.53,0.6,0.48,0.31,0.354
2/8/2013 0:00,1.57985,1.5789095,7,-0.85,0.22,-1.53,0.725,0.48,0.405,0.557
2/15/2013 0:00,1.5518,1.5513345,8.25,-1.1,0.23,-2,0.7625,0.595,0.23,0.351
2/22/2013 0:00,1.51625,1.523902,8.638,-1.166,0.22,-2.1,0.75,0.48,0.3,0.28
3/1/2013 0:00,1.50385,1.5024135,8.7,-1.289,0.23,-2.38,0.775,0.54,0.405,0.2945
3/8/2013 0:00,1.49175,1.491361,8.375,-1.173,0.23,-2.28,0.75,0.48,0.23,0.266
3/15/2013 0:00,1.5116,1.510763,8.1125,-0.731,0.21,-2.13,0.6875,0.48,0.28,0.2685
3/22/2013 0:00,1.52305,1.5224465,7.3625,-1.099,0.21,-2.18,0.7125,0.58,0.5,0.2955
3/29/2013 0:00,1.52025,1.520046,7.05,-1.179,0.21,-2.3,0.706,0.82,0.51,0.29
4/5/2013 0:00,1.5335,1.532995,6.95,-1.067,0.2,-2,0.675,0.53,0.23,0.276
4/12/2013 0:00,1.53425,1.53328,6.9,-1.006,0.19,-1.75,0.65,0.48,0.28,0.275
4/19/2013 0:00,1.52315,1.522165,7.175,-1.061,0.19,-2.05,0.675,0.48,0.525,0.269
4/26/2013 0:00,1.54795,1.54746,6.95,-0.993,0.2,-1.9,0.5875,0.48,0.28,0.272
5/3/2013 0:00,1.55725,1.55643,6.7,-1.019,0.19,-1.85,0.6375,0.48,0.23,0.2665
5/10/2013 0:00,1.53645,1.53558,7.4,-1.267,0.21,-2.35,0.612,0.56,0.23,0.3295
5/17/2013 0:00,1.51705,1.516005,7.95,-1.334,0.21,-2.43,0.7,0.58,0.28,0.363
5/24/2013 0:00,1.51265,1.511809,8.15,-1.465,0.21,-2.63,0.7,0.48,0.28,0.253
5/31/2013 0:00,1.51995,1.5191485,8.15,-1.454,0.21,-2.6,0.713,0.56,0.28,0.3205
6/7/2013 0:00,1.55585,1.5547395,7.675,-1.316,0.21,-2.35,0.6875,0.56,0.28,0.333
6/14/2013 0:00,1.5705,1.5694395,7.825,-1.179,0.2,-2.1,0.65,0.55,0.28,0.32
6/21/2013 0:00,1.54185,1.541665,8.8,-1.409,0.21,-2.6,0.675,0.58,0.34,0.248
6/28/2013 0:00,1.5212,1.520235,8.975,-1.459,0.28,-2.78,0.8875,0.54,0.28,0.238
7/5/2013 0:00,1.4889,1.488655,9.25,-1.452,0.26,-2.95,0.8,0.53,0.28,0.2395
7/12/2013 0:00,1.51075,1.51021,9.075,-1.294,0.22,-2.4,0.65,0.48,0.28,0.23
7/19/2013 0:00,1.5268,1.52557,8.3,-1.173,0.21,-2.28,0.6375,0.54,0.28,0.271
7/26/2013 0:00,1.53815,1.53724,8.25,-1.324,0.21,-2.5,0.6625,0.49,0.28,0.242
8/2/2013 0:00,1.5289,1.527825,8.487,-1.391,0.23,-2.5,0.75,0.5,0.28,0.2515
8/9/2013 0:00,1.55,1.5495095,7.525,-1.238,0.23,-2.35,0.713,0.48,0.28,0.211
8/16/2013 0:00,1.56295,1.5618945,7.4,-1.273,0.23,-2.5,0.75,0.48,0.28,0.209
8/23/2013 0:00,1.5568,1.5560795,7.85,-1.495,0.26,-2.75,0.8125,0.54,0.28,0.2745
8/30/2013 0:00,1.55095,1.550213,8.05,-1.541,0.26,-2.83,0.731,0.53,0.27,0.248
9/6/2013 0:00,1.5631,1.5625895,7.45,-1.193,0.24,-2.28,0.75,0.53,0.27,0.2565
9/13/2013 0:00,1.5875,1.586695,7.05,-1.102,0.24,-2,0.687,0.48,0.27,0.21
9/20/2013 0:00,1.6006,1.5995855,6.875,-1.038,0.23,-1.55,0.7,0.48,0.33,0.209
9/27/2013 0:00,1.61385,1.6128635,6.9,-0.887,0.23,-1.53,0.7125,0.48,0.27,0.213
10/4/2013 0:00,1.60095,1.6000945,7.35,-0.748,0.26,-1.4,0.763,0.51,0.27,0.2295
10/11/2013 0:00,1.59555,1.594221,6.95,-0.772,0.26,-1.26,0.8125,0.54,0.27,0.196
10/18/2013 0:00,1.61675,1.615567,6.8,-0.489,0.26,-0.83,0.8,0.53,0.22,0.236
10/25/2013 0:00,1.6166,1.6155425,6.775,-0.324,0.24,-0.6,0.7875,0.48,0.22,0.1815
11/1/2013 0:00,1.59265,1.5915405,7.225,-0.554,0.26,-1.19,0.794,0.48,0.22,0.2005
11/8/2013 0:00,1.60175,1.6013565,6.95,-0.561,0.26,-1,0.75,0.48,0.21,0.1935
11/15/2013 0:00,1.61215,1.610115,6.6,-0.473,0.25,-0.95,0.8,0.48,0.25,0.1855
11/22/2013 0:00,1.6226,1.6206345,6.5,-0.493,0.24,-0.73,0.775,0.5,0.21,0.2115
11/29/2013 0:00,1.63675,1.634776,6.8,1.569,0.24,-0.58,0.763,0.5,0.23,0.2185
12/6/2013 0:00,1.63495,1.633625,6.88,-0.278,0.24,-0.6,0.737,0.48,0.2,0.225
12/13/2013 0:00,1.62985,1.628905,7.1,-0.237,0.26,-0.71,0.788,0.46,0.21,0.21
12/20/2013 0:00,1.63355,1.6325455,6.9,-0.399,0.25,-0.73,0.7875,0.48,0.22,0.241
12/27/2013 0:00,1.64805,1.646247,7.213,-0.481,0.25,-0.75,0.725,0.47,0.24,0.231
1/3/2014 0:00,1.64165,1.6402295,7.35,-0.493,0.26,-0.9,0.8125,0.57,0.25,0.301
1/10/2014 0:00,1.64825,1.6469765,6.3,-0.387,0.26,-0.78,0.7,0.48,0.21,0.2005
